construction,designed_te,seed,orientation,eta,bandwidth,sample_gc,sample_gaussian_te,sample_canonical_cs,kde_cs
6,1.0644662656087926,641368109,official-featurewise,0.05,1.7184200740325413,1.8664307100815876,0.9332153550407938,0.695806396413502,0.00584521116803316
6,1.0644662656087926,641368109,official-featurewise,0.2,6.873680296130165,1.8664307100815876,0.9332153550407938,0.695806396413502,8.232764464821685e-06
6,1.0644662656087926,641368109,samplewise,0.02,0.06909976711928807,1.8664307100815876,0.9332153550407938,0.695806396413502,0.14743111095444128
6,1.0644662656087926,641368109,samplewise,0.05,0.17274941779822017,1.8664307100815876,0.9332153550407938,0.695806396413502,0.16933103006293138
6,1.0644662656087926,641368109,samplewise,0.2,0.6909976711928807,1.8664307100815876,0.9332153550407938,0.695806396413502,0.04903092834838141
7,0.17965876053623125,1946044515,official-featurewise,0.02,0.3433134316396444,0.3720526263712021,0.18602631318560106,0.10517355977327483,0.06381814499241223
7,0.17965876053623125,1946044515,official-featurewise,0.05,0.858283579099111,0.3720526263712021,0.18602631318560106,0.10517355977327483,0.012104245589370066
7,0.17965876053623125,1946044515,official-featurewise,0.2,3.433134316396444,0.3720526263712021,0.18602631318560106,0.10517355977327483,1.958778664246097e-05
7,0.17965876053623125,1946044515,samplewise,0.02,0.033377411981700605,0.3720526263712021,0.18602631318560106,0.10517355977327483,0.18399665432702061
7,0.17965876053623125,1946044515,samplewise,0.05,0.08344352995425153,0.3720526263712021,0.18602631318560106,0.10517355977327483,0.19057328107072458
7,0.17965876053623125,1946044515,samplewise,0.2,0.3337741198170061,0.3720526263712021,0.18602631318560106,0.10517355977327483,0.06638050843374721
8,0.6800744653588063,1805028856,official-featurewise,0.02,0.5163914683430535,1.481493668798467,0.7407468343992335,0.5260977052608916,0.08117956936562365
8,0.6800744653588063,1805028856,official-featurewise,0.05,1.2909786708576336,1.481493668798467,0.7407468343992335,0.5260977052608916,0.011315905914241142
8,0.6800744653588063,1805028856,official-featurewise,0.2,5.1639146834305345,1.481493668798467,0.7407468343992335,0.5260977052608916,2.375713280855507e-05
8,0.6800744653588063,1805028856,samplewise,0.02,0.05091112393577484,1.481493668798467,0.7407468343992335,0.5260977052608916,0.2054633739634486
8,0.6800744653588063,1805028856,samplewise,0.05,0.12727780983943712,1.481493668798467,0.7407468343992335,0.5260977052608916,0.242040154198234
8,0.6800744653588063,1805028856,samplewise,0.2,0.5091112393577485,1.481493668798467,0.7407468343992335,0.5260977052608916,0.08316720470296524
9,0.6896303886794061,24112401,official-featurewise,0.02,0.4977630758015015,1.3360654191512953,0.6680327095756476,0.4643479614448818,0.10249758617493043
9,0.6896303886794061,24112401,official-featurewise,0.05,1.2444076895037537,1.3360654191512953,0.6680327095756476,0.4643479614448818,0.015370803494601404
9,0.6896303886794061,24112401,official-featurewise,0.2,4.977630758015015,1.3360654191512953,0.6680327095756476,0.4643479614448818,2.0003005676727525e-05
9,0.6896303886794061,24112401,samplewise,0.02,0.0499074532098689,1.3360654191512953,0.6680327095756476,0.4643479614448818,0.16972823579158458
9,0.6896303886794061,24112401,samplewise,0.05,0.12476863302467225,1.3360654191512953,0.6680327095756476,0.4643479614448818,0.19323215399353266
9,0.6896303886794061,24112401,samplewise,0.2,0.499074532098689,1.3360654191512953,0.6680327095756476,0.4643479614448818,0.10219099043446711
